method,W,p_value,normal
PCA_3_Agglomerative_n_clusters4_linkageward,0.9884406223502749,0.9031666390131152,True
PCA_3_KMeans_n_clusters4_n_init10_random_state42,0.9454988207581235,0.022357970001122742,False
PCA_3_Spectral_n_clusters4_affinitynearest_neighbors_random_state42,0.9223430037316462,0.0028685785919874236,False
PCA_3_GMM_n_components5_covariance_typefull_random_state42,0.9716431277050214,0.2696221835944285,True
PCA_3_Agglomerative_n_clusters5_linkageward,0.9826805857158285,0.6691325707451281,True
PCA_3_KMeans_n_clusters5_n_init10_random_state42,0.9698564317499866,0.22835825747864955,True
PCA_3_Spectral_n_clusters5_affinitynearest_neighbors_random_state42,0.9788077084346007,0.5028460877049235,True
PCA_3_GMM_n_components6_covariance_typefull_random_state42,0.9623596988114788,0.11162533075274059,True
PCA_3_Agglomerative_n_clusters6_linkageward,0.9789624894771254,0.5090820503005729,True
PCA_3_KMeans_n_clusters6_n_init10_random_state42,0.9664916575955127,0.1660368168729471,True
PCA_3_Spectral_n_clusters6_affinitynearest_neighbors_random_state42,0.9880044390593561,0.888922210043361,True
PCA_3_GMM_n_components7_covariance_typefull_random_state42,0.9744692406340353,0.34824577443917737,True
PCA_3_Agglomerative_n_clusters7_linkageward,0.9845777355924655,0.7533085605145363,True
PCA_3_KMeans_n_clusters7_n_init10_random_state42,0.983746536795531,0.7166737104580372,True
PCA_3_Spectral_n_clusters7_affinitynearest_neighbors_random_state42,0.9833382503373256,0.6984955793648462,True
PCA_3_GMM_n_components8_covariance_typefull_random_state42,0.9826552400817952,0.6680011951458256,True
PCA_3_Agglomerative_n_clusters8_linkageward,0.9911208521993845,0.9687250862150333,True
PCA_3_KMeans_n_clusters8_n_init10_random_state42,0.9857793617694128,0.8045352194625601,True
PCA_3_Spectral_n_clusters8_affinitynearest_neighbors_random_state42,0.975726566257755,0.38883381080410273,True
PCA_3_GMM_n_components9_covariance_typefull_random_state42,0.9570629816649684,0.06697445078391391,True
PCA_3_Agglomerative_n_clusters9_linkageward,0.9805705499903205,0.5762651638922802,True
