method,W,p_value,normal
PCA_3_Agglomerative_n_clusters4_linkageward,0.8813874385630389,0.00012331404711921878,False
PCA_3_KMeans_n_clusters4_n_init10_random_state42,0.9831871912728309,0.6917548796772948,True
PCA_3_Spectral_n_clusters4_affinitynearest_neighbors_random_state42,0.9604561951099206,0.09289434460702137,True
PCA_3_GMM_n_components5_covariance_typefull_random_state42,0.9863598473640137,0.8281330483223599,True
PCA_3_Agglomerative_n_clusters5_linkageward,0.9742613271140351,0.34187256592818566,True
PCA_3_KMeans_n_clusters5_n_init10_random_state42,0.9880013638099872,0.8888186624021245,True
PCA_3_Spectral_n_clusters5_affinitynearest_neighbors_random_state42,0.7546792279775562,9.164709023663617e-08,False
PCA_3_GMM_n_components6_covariance_typefull_random_state42,0.9859584108079307,0.8119094941364584,True
PCA_3_Agglomerative_n_clusters6_linkageward,0.9773072047713637,0.44482026127090685,True
PCA_3_KMeans_n_clusters6_n_init10_random_state42,0.9364141742284983,0.009742994426083784,False
PCA_3_Spectral_n_clusters6_affinitynearest_neighbors_random_state42,0.9272361419795019,0.0043497729903051565,False
PCA_3_GMM_n_components7_covariance_typefull_random_state42,0.9920703738242849,0.9822923589780717,True
PCA_3_Agglomerative_n_clusters7_linkageward,0.8570352152692358,2.412199367404405e-05,False
PCA_3_KMeans_n_clusters7_n_init10_random_state42,0.9689117704288681,0.20894924697900574,True
PCA_3_Spectral_n_clusters7_affinitynearest_neighbors_random_state42,0.9789560046645881,0.5088198986408456,True
PCA_3_GMM_n_components8_covariance_typefull_random_state42,0.9174923637024314,0.0019161122606806045,False
PCA_3_Agglomerative_n_clusters8_linkageward,0.9175393571490443,0.0019235346971662138,False
PCA_3_KMeans_n_clusters8_n_init10_random_state42,0.9672264254300207,0.1780919290941155,True
PCA_3_Spectral_n_clusters8_affinitynearest_neighbors_random_state42,0.9720699777063277,0.2804147213221113,True
PCA_3_GMM_n_components9_covariance_typefull_random_state42,0.8833319596990719,0.00014144496090161526,False
PCA_3_Agglomerative_n_clusters9_linkageward,0.9501514032824844,0.034607186852098744,False
PCA_3_KMeans_n_clusters9_n_init10_random_state42,0.9760713877354962,0.4005796537300101,True
PCA_3_Spectral_n_clusters9_affinitynearest_neighbors_random_state42,0.9666284280981164,0.16822002510464937,True
PCA_3_GMM_n_components10_covariance_typefull_random_state42,0.8116698644567119,1.645855979342424e-06,False
PCA_3_Agglomerative_n_clusters10_linkageward,0.982388378643121,0.6560985020950486,True
PCA_3_KMeans_n_clusters10_n_init10_random_state42,0.9875637085472286,0.8736604214528565,True
PCA_3_Spectral_n_clusters10_affinitynearest_neighbors_random_state42,0.883368735342294,0.00014181388900386327,False
PCA_4_DBSCAN_eps0.1_min_samples5,0.9805965488788401,0.5773832029913848,True
PCA_4_DBSCAN_eps0.2_min_samples5,0.9928437943957366,0.9898954073124844,True
PCA_4_DBSCAN_eps0.30000000000000004_min_samples5,0.9720308019533742,0.27940863573520264,True
PCA_4_DBSCAN_eps0.4_min_samples5,0.9831447703028455,0.6898610803963652,True
PCA_4_DBSCAN_eps0.5_min_samples5,0.9781500899539347,0.4768593565353043,True
PCA_4_DBSCAN_eps0.6000000000000001_min_samples5,0.9754870891360921,0.3808318255722034,True
PCA_4_DBSCAN_eps0.7000000000000001_min_samples5,0.9734191027567316,0.31702838128145894,True
PCA_4_DBSCAN_eps0.8_min_samples5,0.9608935932657254,0.09689996372427716,True
PCA_4_DBSCAN_eps0.9_min_samples5,0.9368211492397555,0.010105509348275515,False
PCA_4_DBSCAN_eps1.0_min_samples5,0.9417582578236375,0.015821924377706797,False
PCA_4_GMM_n_components2_covariance_typefull_random_state42,0.6552379315341499,1.4143987984490438e-09,False
PCA_4_Agglomerative_n_clusters2_linkageward,0.6353157609870135,6.762112455152928e-10,False
PCA_4_KMeans_n_clusters2_n_init10_random_state42,0.9882085187300829,0.8956975381853209,True
PCA_4_Spectral_n_clusters2_affinitynearest_neighbors_random_state42,0.414553033299523,7.718274660174361e-13,False
PCA_4_GMM_n_components3_covariance_typefull_random_state42,0.5288223599256451,1.9552525443779264e-11,False
PCA_4_Agglomerative_n_clusters3_linkageward,0.9051722155641204,0.000715180197719676,False
PCA_4_KMeans_n_clusters3_n_init10_random_state42,0.981824401053132,0.6310425039490443,True
PCA_4_Spectral_n_clusters3_affinitynearest_neighbors_random_state42,0.9348723968646568,0.008488761661352226,False
PCA_4_GMM_n_components4_covariance_typefull_random_state42,0.9549219578375303,0.05452412560800039,True
PCA_4_Agglomerative_n_clusters4_linkageward,0.9559612037962836,0.06024220125991211,True
PCA_4_KMeans_n_clusters4_n_init10_random_state42,0.8344436509399614,6.020053629454459e-06,False
PCA_4_Spectral_n_clusters4_affinitynearest_neighbors_random_state42,0.9583616131528218,0.07589850534572191,True
PCA_4_GMM_n_components5_covariance_typefull_random_state42,0.9354557709618809,0.008942141447652867,False
PCA_4_Agglomerative_n_clusters5_linkageward,0.9503369554502168,0.03522047175056731,False
PCA_4_KMeans_n_clusters5_n_init10_random_state42,0.9863393406565046,0.8273153906247712,True
PCA_4_Spectral_n_clusters5_affinitynearest_neighbors_random_state42,0.812447483007351,1.7177611110394787e-06,False
PCA_4_GMM_n_components6_covariance_typefull_random_state42,0.9814917988471715,0.6163630640878981,True
PCA_4_Agglomerative_n_clusters6_linkageward,0.9618459989001686,0.10622840519568412,True
PCA_4_KMeans_n_clusters6_n_init10_random_state42,0.9747339881312459,0.35649979436998336,True
PCA_4_Spectral_n_clusters6_affinitynearest_neighbors_random_state42,0.8368014989494184,6.9236333532405915e-06,False
PCA_4_GMM_n_components7_covariance_typefull_random_state42,0.9782567950199984,0.48101861644211175,True
PCA_4_Agglomerative_n_clusters7_linkageward,0.9752602964019825,0.37337141361237264,True
PCA_4_KMeans_n_clusters7_n_init10_random_state42,0.9770207764625131,0.4342718086064027,True
PCA_4_Spectral_n_clusters7_affinitynearest_neighbors_random_state42,0.9522347162128519,0.04217611676483032,False
PCA_4_GMM_n_components8_covariance_typefull_random_state42,0.9859588639478845,0.8119280541333564,True
